MOFname,ASA_A^2,ASA_m^2/cm^3,ASA_m^2/g,Density,Largest_free_sphere,Largest_included_sphere,Largest_included_sphere_along_free_path,NASA_A^2,NASA_m^2/cm^3,NASA_m^2/g,POAV_A^3,POAV_Volume_fraction,POAV_cm^3/g,PONAV_A^3,PONAV_Volume_fraction,PONAV_cm^3/g,Unitcell_volume
qmof-15d237d,0,0,0,1.8708,0.95312,2.13343,2.12547,0,0,0,0,0,0,0,0,0,1061.01
qmof-c02bcdf,0,0,0,1.51593,1.19204,2.10363,2.10339,0,0,0,0,0,0,0,0,0,1405.15
qmof-50169e9,0,0,0,1.62927,2.75187,3.90803,3.88779,74.605,331.649,203.556,0,0,0,201.332,0.0895,0.0549324,2249.52
qmof-878ee6a,182.197,661.732,415.29,1.59342,3.65042,4.91767,4.91767,0,0,0,430.072,0.1562,0.098028,0,0,0,2753.34
qmof-e697da3,0,0,0,2.33094,0.60734,2.42245,2.34528,0,0,0,0,0,0,0,0,0,809.559
qmof-02c4706,0,0,0,1.97442,1.47019,2.37106,2.37106,0,0,0,0,0,0,0,0,0,822.502
qmof-c02979d,0,0,0,1.74611,1.16738,1.92509,1.9021,0,0,0,0,0,0,0,0,0,688.142
qmof-eacac19,0,0,0,2.2017,0.86298,2.17425,2.15057,0,0,0,0,0,0,0,0,0,917.169
qmof-f6f5670,0,0,0,1.45324,1.76304,3.17347,3.16665,13.4787,83.1871,57.2424,0,0,0,60.7607,0.0375,0.0258044,1620.29
qmof-4125488,0,0,0,2.32782,1.18431,1.86765,1.83007,0,0,0,0,0,0,0,0,0,461.32
qmof-83e07e9,0,0,0,2.29423,1.97993,2.63637,2.63497,0,0,0,0,0,0,0,0,0,1261.69
qmof-4366c64,0,0,0,1.92264,0.89649,2.36779,2.3574,0,0,0,0,0,0,0,0,0,783.096
qmof-221bac5,0,0,0,2.81468,0.74786,1.71023,1.68593,0,0,0,0,0,0,0,0,0,1186.92
qmof-9af4bae,66.0084,1245.12,804.513,1.54766,3.90131,4.46373,4.45622,0,0,0,161.957,0.3055,0.197394,0,0,0,530.138
qmof-8f9b4a4,0,0,0,2.44569,0.9465,1.79527,1.79527,0,0,0,0,0,0,0,0,0,308.552
qmof-77d3bda,1523.53,2606.64,3496.97,0.745402,4.9158,7.43256,7.43256,0,0,0,3570.58,0.6109,0.819558,0,0,0,5844.78
qmof-836779c,0,0,0,1.72105,1.26778,2.7101,2.70658,0,0,0,0,0,0,0,0,0,1437.4
qmof-ad847be,96.0001,617.398,473.071,1.30509,3.26276,4.33822,4.33822,0,0,0,219.709,0.1413,0.108269,0,0,0,1554.91
qmof-6903ec5,0,0,0,4.09263,0.99878,1.81987,1.81987,0,0,0,0,0,0,0,0,0,555.113
qmof-1026675,0,0,0,1.95965,1.03867,1.96404,1.96404,0,0,0,0,0,0,0,0,0,577.391
qmof-c4a69d9,0,0,0,1.40736,1.0444,3.49255,1.8552,7.65927,65.905,46.8288,0,0,0,36.2596,0.0312,0.0221692,1162.17
qmof-f063351,363.476,1457.43,1262.96,1.15398,3.38171,4.87842,4.8157,0,0,0,742.946,0.2979,0.258149,0,0,0,2493.94
qmof-63d089a,0,0,0,1.53379,1.45317,2.67631,2.67631,0,0,0,0,0,0,0,0,0,959.348
qmof-fe08220,0,0,0,1.5162,0.98996,1.97047,1.97047,0,0,0,0,0,0,0,0,0,1099.36
qmof-866f41f,0,0,0,2.60765,0.80972,1.82509,1.82031,0,0,0,0,0,0,0,0,0,1479.57
qmof-5d053df,0,0,0,1.5815,1.70455,4.41809,4.41795,62.902,670.891,424.213,0,0,0,193.237,0.2061,0.13032,937.588
qmof-d6f338e,367.906,954.801,295.17,3.23475,3.54297,5.46243,5.46243,0,0,0,741.744,0.1925,0.0595099,0,0,0,3853.22
qmof-3bc58f6,0,0,0,1.56254,1.3322,2.79099,2.47999,0,0,0,0,0,0,0,0,0,919.795
qmof-aac02f7,0,0,0,2.47267,1.85609,3.32503,3.32503,3.19051,34.061,13.775,0,0,0,31.2859,0.0334,0.0135076,936.704
qmof-6500a22,0,0,0,2.06667,0.85244,2.39425,2.386,0,0,0,0,0,0,0,0,0,652.984
qmof-313ba41,0,0,0,1.51308,0.86384,1.51381,1.49936,0,0,0,0,0,0,0,0,0,931.44
qmof-ab4de6d,0,0,0,1.83811,1.22615,2.74808,2.58444,0,0,0,0,0,0,0,0,0,510.553
qmof-dbf1bf8,0,0,0,1.85012,2.42373,3.92833,3.92092,86.23,854.472,461.846,0,0,0,200.318,0.1985,0.10729,1009.16
qmof-22fb57d,0,0,0,1.58342,0.8696,2.00629,1.99237,0,0,0,0,0,0,0,0,0,915.383
qmof-15fd7ce,124.444,1488.51,1194.68,1.24595,3.4366,4.71438,4.71438,0,0,0,257.163,0.3076,0.24688,0,0,0,836.03
qmof-a2d95c3,994.322,2249.89,3888.75,0.578564,8.00692,15.20212,15.20212,0,0,0,3383.07,0.7655,1.3231,0,0,0,4419.43
qmof-85027d8,0,0,0,2.49698,1.47999,2.48655,2.48248,0,0,0,0,0,0,0,0,0,1057.11
qmof-43d60ca,0,0,0,1.35564,1.70912,2.5845,2.45247,0,0,0,0,0,0,0,0,0,1363.74
qmof-58711c7,0,0,0,1.67735,2.28561,3.54308,3.52619,14.5635,158.8,94.6732,0,0,0,57.1351,0.0623,0.0371419,917.096
qmof-b8c8c2b,0,0,0,1.33063,0.90104,2.18921,2.18617,0,0,0,0,0,0,0,0,0,1211
qmof-afadce0,0,0,0,1.73335,1.04666,1.9928,1.98039,0,0,0,0,0,0,0,0,0,871.111
qmof-5294948,0,0,0,1.16152,2.14146,5.30241,5.30241,200.891,685.499,590.174,0,0,0,477.977,0.1631,0.140419,2930.58
qmof-c0331cb,168.423,858.507,673.107,1.27544,5.57703,7.50449,7.50449,0,0,0,418.064,0.2131,0.16708,0,0,0,1961.82
qmof-a0b4bb0,0,0,0,2.12214,0.91405,2.3639,2.35848,0,0,0,0,0,0,0,0,0,1188.15
qmof-32457b4,0,0,0,1.56686,1.50788,2.94806,2.94806,0.904181,8.7534,5.58659,0,0,0,0,0,0,1032.95
qmof-9524655,398.01,1127.84,876.475,1.28679,2.92381,5.11438,5.11438,0,0,0,897.062,0.2542,0.197546,0,0,0,3528.96
qmof-c4b5b05,0,0,0,1.92249,1.41802,2.73124,2.71418,0,0,0,0,0,0,0,0,0,2278.19
qmof-43efc53,84.643,559.785,373.007,1.50074,3.0156,5.26738,5.21442,0,0,0,200.197,0.1324,0.0882232,0,0,0,1512.06
qmof-92bf34f,0,0,0,1.89678,1.3631,2.20516,1.85283,0,0,0,0,0,0,0,0,0,756.641
qmof-52875a0,0,0,0,2.03167,1.6562,2.11892,2.11892,0,0,0,0,0,0,0,0,0,356.265
qmof-a45536d,0,0,0,1.26716,2.3915,4.03039,4.03039,91.5513,286.669,226.229,0,0,0,221.318,0.0693,0.0546891,3193.63
qmof-191e06e,199.941,1601.6,1129.41,1.41808,5.62117,6.83368,6.83368,0,0,0,503.847,0.4036,0.28461,0,0,0,1248.38
qmof-0bdd243,274.307,847.202,695.777,1.21763,3.34186,4.39798,4.39611,0,0,0,537.474,0.166,0.13633,0,0,0,3237.79
qmof-4cd5f97,0,0,0,2.21334,1.20981,2.05234,2.05234,0,0,0,0,0,0,0,0,0,776.449
qmof-12b52ca,0,0,0,2.51453,1.09402,1.88493,1.82466,0,0,0,0,0,0,0,0,0,1159.32
qmof-9fa0563,0,0,0,2.25421,0.7356,1.93356,1.6959,0,0,0,0,0,0,0,0,0,895.177
qmof-2c0cdf7,0,0,0,2.72104,0.88652,2.37831,2.37653,0,0,0,0,0,0,0,0,0,1389.19
qmof-d248652,0,0,0,1.80864,1.02983,1.95094,1.89361,0,0,0,0,0,0,0,0,0,1009.52
qmof-8b891d0,0,0,0,2.00931,1.28521,2.41704,2.41704,0,0,0,0,0,0,0,0,0,862.087
qmof-bdde1f9,0,0,0,2.9442,0.96565,1.88929,1.88929,0,0,0,0,0,0,0,0,0,841.166
qmof-40f2e0c,0,0,0,2.04319,0.89803,1.56943,1.56724,0,0,0,0,0,0,0,0,0,735.945
qmof-909100d,0,0,0,2.46253,1.00526,4.35154,4.30187,81.3114,407.799,165.601,0,0,0,209.759,0.1052,0.0427202,1993.91
qmof-09cf381,0,0,0,1.90695,0.80012,1.7586,1.7586,0,0,0,0,0,0,0,0,0,914.383
qmof-1d43809,0,0,0,1.87597,1.08889,2.27488,2.24178,0,0,0,0,0,0,0,0,0,1436.33
qmof-ed6d2e9,0,0,0,1.56369,1.23765,2.93005,2.40756,0.83602,1.97376,1.26224,0,0,0,0,0,0,4235.67
qmof-602b4a9,0,0,0,1.90272,2.09304,2.99982,2.95431,2.99071,16.1442,8.48478,0,0,0,0,0,0,1852.5
qmof-ce16907,0,0,0,1.36481,1.2038,3.45233,2.53753,18.5136,183.866,134.719,0,0,0,63.0327,0.0626,0.0458674,1006.91
qmof-8ca775a,0,0,0,1.81938,1.1293,2.03338,2.0288,0,0,0,0,0,0,0,0,0,1369.85
qmof-75920df,0,0,0,1.07213,2.19066,4.09746,3.88354,74.5175,627.231,585.034,0,0,0,211.471,0.178,0.166025,1188.04
qmof-87aed19,0,0,0,1.54896,1.80915,4.91573,4.90704,244.193,914.78,590.579,0,0,0,583.269,0.2185,0.141063,2669.42
qmof-8580f8b,0,0,0,1.40633,1.24564,1.62846,1.61964,0,0,0,0,0,0,0,0,0,548.326
qmof-0505344,0,0,0,3.74538,0.72929,1.52524,1.52524,0,0,0,0,0,0,0,0,0,1168.21
qmof-6b7db42,0,0,0,2.24184,0.99499,2.66488,2.6562,0,0,0,0,0,0,0,0,0,802.391
qmof-08cf08d,273.394,1311.32,1110.92,1.18039,3.39826,5.05656,5.05016,0,0,0,585.851,0.281,0.238057,0,0,0,2084.88
qmof-b6c2ee4,0,0,0,2.60319,0.75056,1.69255,1.67608,0,0,0,0,0,0,0,0,0,591.237
qmof-0ce9c14,0,0,0,1.3615,1.38252,2.60709,2.5683,0,0,0,0,0,0,0,0,0,2326.55
qmof-1ff90d0,0,0,0,2.10601,1.68163,2.80858,2.79804,0,0,0,0,0,0,0,0,0,851.183
qmof-4af6c02,0,0,0,3.57046,1.14008,1.80995,1.79061,0,0,0,0,0,0,0,0,0,829.847
qmof-95dc237,0,0,0,1.51098,1.0202,2.78364,2.78364,0,0,0,0,0,0,0,0,0,879.265
qmof-f19872f,14.2111,190.277,140.145,1.35771,3.24671,3.58845,3.53536,0,0,0,43.7663,0.0586,0.0431609,0,0,0,746.866
qmof-fd9adfa,0,0,0,1.7431,1.21559,1.81923,1.81119,0,0,0,0,0,0,0,0,0,632.904
qmof-6cb5e16,0,0,0,1.77804,1.1796,5.58518,5.25878,63.0917,376.354,211.668,0,0,0,165.795,0.0989,0.055623,1676.39
qmof-3d6d180,0,0,0,1.92295,0.89943,1.65055,1.53691,0,0,0,0,0,0,0,0,0,670.779
qmof-4ee5c8e,0,0,0,2.11258,1.16301,2.46794,2.46794,0,0,0,0,0,0,0,0,0,1025.09
qmof-aae4521,0,0,0,1.61422,1.18631,2.35712,2.23634,0,0,0,0,0,0,0,0,0,997.749
qmof-69adfc8,0,0,0,1.51489,2.49768,4.79458,4.79386,79.4458,686.612,453.241,0,0,0,199.247,0.1722,0.113671,1157.07
qmof-dd2be73,0,0,0,1.2635,1.20662,2.11548,2.11548,0,0,0,0,0,0,0,0,0,929.182
qmof-cde0b8c,634.268,1563.54,1327.75,1.17759,4.41403,4.74634,4.73697,0,0,0,1300.55,0.3206,0.272252,0,0,0,4056.6
qmof-c970470,0,0,0,1.97708,1.0384,2.177,2.07449,0,0,0,0,0,0,0,0,0,1203.95
qmof-b155426,0,0,0,1.53691,1.05523,2.09698,2.09698,0,0,0,0,0,0,0,0,0,1358.77
qmof-b3a7c11,500.366,1920.26,1846.95,1.03969,4.24592,5.18111,5.13183,0,0,0,1004.51,0.3855,0.370783,0,0,0,2605.72
qmof-0c10f91,0,0,0,1.68264,1.0091,2.13755,2.13205,0,0,0,0,0,0,0,0,0,1064.86
qmof-fcfab15,0,0,0,1.5443,1.26465,2.75704,2.75704,0,0,0,0,0,0,0,0,0,1126.49
qmof-d3f640f,88.7899,480.612,272.42,1.76423,2.99887,4.67212,4.66183,0,0,0,210.608,0.114,0.0646173,0,0,0,1847.43
qmof-59b5fa6,0,0,0,1.55617,1.2698,2.54633,2.46802,0,0,0,0,0,0,0,0,0,944.924
qmof-6975221,0,0,0,1.88509,1.26587,2.74917,2.70253,0,0,0,0,0,0,0,0,0,288.627
qmof-8ecb2ff,0,0,0,2.11483,0.99552,1.74668,1.7225,0,0,0,0,0,0,0,0,0,1024.63
qmof-6f7fc4a,1096.03,2714.45,2777.45,0.977318,4.29762,5.76205,5.60405,0,0,0,2133.15,0.5283,0.540561,0,0,0,4037.75
qmof-27768ab,0,0,0,3.75213,0.92667,1.80301,1.72456,0,0,0,0,0,0,0,0,0,612.132
qmof-6b1e6f2,0,0,0,1.62591,1.67688,2.8,2.762,0,0,0,0,0,0,0,0,0,1575.64
qmof-11d85cf,0,0,0,1.98442,0.85714,1.50758,1.50758,0,0,0,0,0,0,0,0,0,881.557
qmof-d242cec,0,0,0,1.73147,1.47961,2.36904,2.36904,0,0,0,0,0,0,0,0,0,939.729
qmof-6cf2cff,0,0,0,2.46717,0.92215,2.30449,2.28982,0,0,0,0,0,0,0,0,0,857.506
qmof-3bb24e2,0,0,0,1.40066,2.33229,4.01604,4.00491,83.5198,290.848,207.65,0,0,0,183.782,0.064,0.0456927,2871.6
qmof-0a513ec,217.183,1546.76,1112.19,1.39073,6.41693,7.32346,7.32346,0,0,0,480.068,0.3419,0.245841,0,0,0,1404.12
qmof-50da870,0,0,0,2.58578,0.94161,1.66524,1.65685,0,0,0,0,0,0,0,0,0,1040.53
qmof-e0d16c1,0,0,0,2.5587,1.04145,1.88213,1.64083,0,0,0,0,0,0,0,0,0,1412.84
qmof-e9454a4,0,0,0,1.59906,1.00855,2.52199,2.0407,0,0,0,0,0,0,0,0,0,1174.74
qmof-17ee812,0,0,0,1.55222,2.25519,2.92408,2.92408,1.1801,6.35802,4.09607,0,0,0,0,0,0,1856.09
qmof-2991840,262.372,1747.22,1068.7,1.6349,6.53437,6.94758,6.94758,0,0,0,691.361,0.4604,0.281607,0,0,0,1501.65
qmof-d7aae20,0,0,0,1.54385,0.97118,2.25019,2.20251,0,0,0,0,0,0,0,0,0,1332.58
qmof-b85094e,355.166,1735.35,2192.22,0.791597,8.27802,8.82976,8.8124,0,0,0,1090.25,0.5327,0.672943,0,0,0,2046.65
qmof-68afeea,0,0,0,2.27794,1.22995,1.84643,1.79787,0,0,0,0,0,0,0,0,0,1176.35
qmof-afc8143,0,0,0,1.6823,1.21742,2.97179,2.97179,2.19891,14.7156,8.74731,0,0,0,0,0,0,1494.27
qmof-ad34906,0,0,0,1.68922,1.09266,2.41506,2.41506,0,0,0,0,0,0,0,0,0,998.489
qmof-b1a8c0d,0,0,0,3.04767,0.89158,1.46392,1.25036,0,0,0,0,0,0,0,0,0,289.925
qmof-6dfba5b,0,0,0,1.45376,2.22723,4.36987,4.33413,66.4444,357.492,245.908,0,0,0,168.391,0.0906,0.062321,1858.62
qmof-5168b8c,0,0,0,2.24956,1.19763,1.96701,1.96701,0,0,0,0,0,0,0,0,0,451.118
qmof-c2378eb,0,0,0,2.64606,0.89154,1.53041,1.36707,0,0,0,0,0,0,0,0,0,1255.2
qmof-0dde705,64.5096,226.382,123.988,1.82584,3.08307,3.36676,3.36676,0,0,0,151.598,0.0532,0.0291373,0,0,0,2849.59
qmof-4288fb3,0,0,0,2.12478,1.44597,1.82685,1.79865,0,0,0,0,0,0,0,0,0,717.273
qmof-663ff1d,0,0,0,2.00579,0.88258,1.59982,1.52323,0,0,0,0,0,0,0,0,0,1371.91
qmof-e8386b2,510.733,1752.89,1662.93,1.0541,3.56624,6.02694,6.02694,0,0,0,1046.59,0.3592,0.340765,0,0,0,2913.66
qmof-6ca3fde,0,0,0,1.626,0.90784,2.18389,2.04695,0,0,0,0,0,0,0,0,0,800.127
qmof-fc9b6fb,0,0,0,1.35469,1.03488,1.98975,1.6707,0,0,0,0,0,0,0,0,0,986.161
qmof-a65c7e9,0,0,0,2.45005,2.03876,3.43249,3.43249,13.2305,205.712,83.9623,0,0,0,69.8468,0.1086,0.0443256,643.156
qmof-fa802eb,0,0,0,2.1625,1.25607,2.93695,2.83669,1.19329,11.1631,5.16213,0,0,0,0,0,0,1068.96
qmof-934ba54,0,0,0,1.62792,0.95182,2.17426,2.13491,0,0,0,0,0,0,0,0,0,1135.07
qmof-a40483e,268.577,973.935,633.771,1.53673,3.35206,5.49782,5.49293,0,0,0,522.574,0.1895,0.123314,0,0,0,2757.65
qmof-37b3d7d,0,0,0,1.94143,1.15415,2.89222,2.89222,0.240444,1.75575,0.904362,0,0,0,0,0,0,1369.46
qmof-f8fe9ac,0,0,0,1.84523,1.17505,2.55973,2.46423,0,0,0,0,0,0,0,0,0,2388.42
qmof-44dd757,0,0,0,2.10706,1.30146,3.18846,2.57966,3.93542,22.8609,10.8497,0,0,0,12.0502,0.007,0.00332217,1721.46
qmof-2138589,263.836,1064.36,766.925,1.38783,4.43778,4.94771,4.93225,0,0,0,546.581,0.2205,0.158882,0,0,0,2478.82
qmof-fb9251e,0,0,0,1.46605,2.4522,3.70435,3.65753,32.651,223.476,152.434,0,0,0,81.5268,0.0558,0.0380616,1461.05
qmof-26b963b,0,0,0,1.5819,1.08294,2.73148,2.73148,0,0,0,0,0,0,0,0,0,837.43
qmof-548283f,0,0,0,1.72357,0.95689,2.61739,2.61739,0,0,0,0,0,0,0,0,0,553.975
qmof-7b63907,0,0,0,1.34665,2.02023,3.72548,3.72548,66.4623,526.567,391.02,0,0,0,201.949,0.16,0.118813,1262.18
qmof-05752ab,0,0,0,2.46017,1.05286,1.71468,1.71052,0,0,0,0,0,0,0,0,0,780.183
qmof-860e30a,0,0,0,1.96557,1.05503,2.44108,2.31185,0,0,0,0,0,0,0,0,0,960.201
qmof-ba4e414,0,0,0,2.02564,1.13266,2.63324,2.00326,0,0,0,0,0,0,0,0,0,733.02
qmof-36fe364,0,0,0,1.54993,2.6804,4.19267,4.18753,57.8302,429.549,277.142,0,0,0,155.902,0.1158,0.0747133,1346.3
qmof-1c8fb59,0,0,0,1.84908,0.94643,1.90293,1.79441,0,0,0,0,0,0,0,0,0,398.151
qmof-0a3a813,0,0,0,1.93479,0.57678,1.25075,1.20023,0,0,0,0,0,0,0,0,0,673.195
qmof-cc33e17,103.265,764.17,551.767,1.38495,3.0664,4.82668,4.82668,0,0,0,242.16,0.1792,0.129391,0,0,0,1351.34
qmof-5486f8c,87.8624,474.725,280.375,1.69318,3.04036,5.01593,5.01593,0,0,0,211.547,0.1143,0.0675063,0,0,0,1850.81
qmof-8ef3f6d,0,0,0,1.72909,1.23143,2.0515,2.0515,0,0,0,0,0,0,0,0,0,434.233
qmof-e073388,0,0,0,2.39266,0.90728,1.75131,1.69276,0,0,0,0,0,0,0,0,0,352.56
qmof-4ee9dbb,0,0,0,2.07205,1.88446,3.2402,3.18426,6.8775,63.5555,30.6727,0,0,0,33.9787,0.0314,0.015154,1082.12
qmof-bb08fda,437.233,2552.17,3016.87,0.845965,5.63535,6.75004,6.75004,0,0,0,1005.81,0.5871,0.694,0,0,0,1713.18
qmof-09f467e,0,0,0,2.68829,0.90315,1.46429,1.46429,0,0,0,0,0,0,0,0,0,336.896
qmof-a45077f,0,0,0,1.60039,1.85231,3.48712,3.48712,33.0987,339.803,212.325,0,0,0,86.3987,0.0887,0.0554241,974.055
qmof-723a15f,113.456,780.69,508.396,1.53559,4.80474,5.5534,5.55318,0,0,0,254.324,0.175,0.113963,0,0,0,1453.28
qmof-0f0d142,0,0,0,1.85746,0.692,1.4235,1.42117,0,0,0,0,0,0,0,0,0,935.047
qmof-1aa1ca3,0,0,0,2.48749,0.93162,1.40435,1.40435,0,0,0,0,0,0,0,0,0,651.656
qmof-e4ea8a1,0,0,0,2.09258,2.50715,3.36749,3.19597,21.8129,245.312,117.23,0,0,0,104.302,0.1173,0.0560552,889.19
qmof-27afebe,0,0,0,1.91093,0.8633,1.97795,1.97795,0,0,0,0,0,0,0,0,0,464.195
qmof-e0c423e,0,0,0,1.7045,0.95343,2.38567,2.03305,0,0,0,0,0,0,0,0,0,847.068
qmof-a78d31b,0,0,0,2.23371,1.26389,1.69544,1.69381,0,0,0,0,0,0,0,0,0,682.283
qmof-aabf74a,0,0,0,1.73015,0.85247,2.13212,2.11968,0,0,0,0,0,0,0,0,0,302.473
qmof-3d489e4,0,0,0,3.71073,0.93999,1.90789,1.82304,0,0,0,0,0,0,0,0,0,441.281
qmof-3458460,0,0,0,2.18091,1.0525,1.61357,1.54552,0,0,0,0,0,0,0,0,0,383.343
qmof-726afcd,0,0,0,2.14653,1.04214,1.56525,1.55811,0,0,0,0,0,0,0,0,0,1036.76
qmof-a08abd2,0,0,0,1.56258,1.28692,2.51677,2.51677,0,0,0,0,0,0,0,0,0,593.52
qmof-2bd0023,0,0,0,2.12049,0.8604,2.2052,1.9084,0,0,0,0,0,0,0,0,0,414.613
qmof-d73861b,0,0,0,2.33533,0.89301,1.97149,1.96324,0,0,0,0,0,0,0,0,0,870.732
qmof-6b7b775,0,0,0,1.62945,1.1954,2.01636,1.96151,0,0,0,0,0,0,0,0,0,1163.54
qmof-6a6ccde,0,0,0,1.77488,0.76571,3.09874,3.06149,9.47696,81.0105,45.6427,0,0,0,0,0,0,1169.84
qmof-3209aae,0,0,0,2.2512,1.02658,1.83349,1.75726,0,0,0,0,0,0,0,0,0,995.944
qmof-7b8ba4b,0,0,0,2.19042,1.39547,3.77363,3.76839,102.976,375.977,171.646,0,0,0,246.775,0.0901,0.0411336,2738.91
qmof-814ffa4,0,0,0,1.86423,1.09403,2.04619,2.04619,0,0,0,0,0,0,0,0,0,733.57
qmof-553120e,0,0,0,1.85845,1.14604,1.90645,1.75242,0,0,0,0,0,0,0,0,0,848.387
qmof-9798592,0,0,0,1.75003,1.05374,1.84163,1.83989,0,0,0,0,0,0,0,0,0,426.398
qmof-e5dde7a,0,0,0,1.43398,1.41487,2.73354,2.70354,0,0,0,0,0,0,0,0,0,1051.41
qmof-e07b521,0,0,0,3.41221,0.68308,1.42596,1.18407,0,0,0,0,0,0,0,0,0,580.081
qmof-de79bef,0,0,0,2.68181,0.99056,2.52395,2.42509,0,0,0,0,0,0,0,0,0,1079.61
qmof-9493f53,0,0,0,2.09952,0.84212,1.959,1.94371,0,0,0,0,0,0,0,0,0,648.624
