f-chi-0-all,f-chi-1-all,f-chi-2-all,f-chi-3-all,f-Z-0-all,f-Z-1-all,f-Z-2-all,f-Z-3-all,f-I-0-all,f-I-1-all,f-I-2-all,f-I-3-all,f-T-0-all,f-T-1-all,f-T-2-all,f-T-3-all,f-S-0-all,f-S-1-all,f-S-2-all,f-S-3-all,mc-chi-0-all,mc-chi-1-all,mc-chi-2-all,mc-chi-3-all,mc-Z-0-all,mc-Z-1-all,mc-Z-2-all,mc-Z-3-all,mc-I-0-all,mc-I-1-all,mc-I-2-all,mc-I-3-all,mc-T-0-all,mc-T-1-all,mc-T-2-all,mc-T-3-all,mc-S-0-all,mc-S-1-all,mc-S-2-all,mc-S-3-all,D_mc-chi-0-all,D_mc-chi-1-all,D_mc-chi-2-all,D_mc-chi-3-all,D_mc-Z-0-all,D_mc-Z-1-all,D_mc-Z-2-all,D_mc-Z-3-all,D_mc-I-0-all,D_mc-I-1-all,D_mc-I-2-all,D_mc-I-3-all,D_mc-T-0-all,D_mc-T-1-all,D_mc-T-2-all,D_mc-T-3-all,D_mc-S-0-all,D_mc-S-1-all,D_mc-S-2-all,D_mc-S-3-all,f-lig-chi-0,f-lig-chi-1,f-lig-chi-2,f-lig-chi-3,f-lig-Z-0,f-lig-Z-1,f-lig-Z-2,f-lig-Z-3,f-lig-I-0,f-lig-I-1,f-lig-I-2,f-lig-I-3,f-lig-T-0,f-lig-T-1,f-lig-T-2,f-lig-T-3,f-lig-S-0,f-lig-S-1,f-lig-S-2,f-lig-S-3,lc-chi-0-all,lc-chi-1-all,lc-chi-2-all,lc-chi-3-all,lc-Z-0-all,lc-Z-1-all,lc-Z-2-all,lc-Z-3-all,lc-I-0-all,lc-I-1-all,lc-I-2-all,lc-I-3-all,lc-T-0-all,lc-T-1-all,lc-T-2-all,lc-T-3-all,lc-S-0-all,lc-S-1-all,lc-S-2-all,lc-S-3-all,lc-alpha-0-all,lc-alpha-1-all,lc-alpha-2-all,lc-alpha-3-all,D_lc-chi-0-all,D_lc-chi-1-all,D_lc-chi-2-all,D_lc-chi-3-all,D_lc-Z-0-all,D_lc-Z-1-all,D_lc-Z-2-all,D_lc-Z-3-all,D_lc-I-0-all,D_lc-I-1-all,D_lc-I-2-all,D_lc-I-3-all,D_lc-T-0-all,D_lc-T-1-all,D_lc-T-2-all,D_lc-T-3-all,D_lc-S-0-all,D_lc-S-1-all,D_lc-S-2-all,D_lc-S-3-all,D_lc-alpha-0-all,D_lc-alpha-1-all,D_lc-alpha-2-all,D_lc-alpha-3-all,func-chi-0-all,func-chi-1-all,func-chi-2-all,func-chi-3-all,func-Z-0-all,func-Z-1-all,func-Z-2-all,func-Z-3-all,func-I-0-all,func-I-1-all,func-I-2-all,func-I-3-all,func-T-0-all,func-T-1-all,func-T-2-all,func-T-3-all,func-S-0-all,func-S-1-all,func-S-2-all,func-S-3-all,func-alpha-0-all,func-alpha-1-all,func-alpha-2-all,func-alpha-3-all,D_func-chi-0-all,D_func-chi-1-all,D_func-chi-2-all,D_func-chi-3-all,D_func-Z-0-all,D_func-Z-1-all,D_func-Z-2-all,D_func-Z-3-all,D_func-I-0-all,D_func-I-1-all,D_func-I-2-all,D_func-I-3-all,D_func-T-0-all,D_func-T-1-all,D_func-T-2-all,D_func-T-3-all,D_func-S-0-all,D_func-S-1-all,D_func-S-2-all,D_func-S-3-all,D_func-alpha-0-all,D_func-alpha-1-all,D_func-alpha-2-all,D_func-alpha-3-all,MOFname,0
170.617,339.258,735.0028,994.7612,2698,5928,7744,10034,20,48,84,126,132,348,528,690,13.5636,35.216,57.0132,81.075,2.7225,27.72,25.245,55.7865,900,1170,1080,2250,1,5,6,12,25,55,90,155,1.7161,4.8077,6.0522,11.3708,0,-8.55,-5.4,-14.01,0,111,144,285,0,0,0,0,0,14,12,29,0,2.88,3.24,7.04,147.3137,308.414,496.9136,593.1534,646,1384,2030,2160,21.66666667,46.66666667,75.33333333,92.66666667,124.6666667,320.6666667,452,490,9.767766667,23.55173333,35.33913333,40.18433333,10.9696,11.016,23.7184,24.04853333,59,60,119,101.3333333,1,1.333333333,2.666666667,3,2,6,10,10,0.542766667,0.759733333,1.4,1.406966667,36.98,95.67333333,153.3908713,159.332614,0,0.92,1.363333333,2.19,0,2,4.333333333,9,0,0,0,0,0,-2,-2.333333333,-2.333333333,0,-0.04,0.08,0.32,0,-6.6,-6.935703333,-6.40711,3.080533333,2.584,2.584,7.397333333,16.33333333,14,14,30.33333333,0.333333333,0.333333333,0.333333333,1,0.333333333,0.666666667,1.333333333,2.666666667,0.1875,0.1925,0.1925,0.4775,18.25333333,27.87333333,27.87333333,66.86420467,0,0.163333333,0.163333333,0.606666667,0,0.333333333,0.333333333,2.666666667,0,0,0,0,0,-0.333333333,-1,-1.666666667,0,-0.006666667,-0.006666667,0.113333333,0,-1.3,-1.3,-1.635703333,qmof-07e6831,
453.886,932.4544,1876.8668,3107.5448,5584,12760,17552,19592,58,128,236,384,364,1024,1640,1944,30.2586,80.6248,140.6708,190.364,2.7225,29.898,40.08675,36.1845,900,1260,1200,1530,1,5.5,9.5,7.5,30.5,83,97,118.5,1.7161,5.31205,7.40805,7.40805,0,-9.045,-8.62,-9.555,0,123,245,174,0,0,0,0,0,15.5,35,20,0,3.15,6.79,4.17,89.8211,169.9956,243.7858,211.152,434,822,1072,648,11,22,32,28,54,124,142,92,5.3683,11.4446,15.048,11.2492,10.3216,14.0024,21.19406667,18.385,55.25,75.125,114.0416667,55.25,1,1.583333333,2.291666667,2.416666667,2.75,6.5,9.666666667,7.333333333,0.550166667,0.894833333,1.2853125,0.958041667,43.6475,97.25833333,133.3516667,113.094594,0,0.51375,0.656666667,2.18,0,1.125,1.416666667,10.75,0,0,0,0,0,-1.125,-2.125,-1.125,0,-0.0225,-0.028333333,0.493333333,0,-3.6375,-4.775,-2.426739167,9.6736,16.244,21.44626667,16.018,51.5,86.75,114.9166667,51.5,1,1.833333333,2.416666667,2.166666667,3.5,8,11.66666667,8.333333333,0.557566667,1.037433333,1.366875,0.896216667,50.315,113.2733333,152.7966667,115.421406,0,0.3525,0.556666667,1.67,0,0.75,1.166666667,8.5,0,0,0,0,0,-0.75,-1.75,-0.75,0,-0.015,-0.023333333,0.413333333,0,-2.625,-4.25,-1.574961667,qmof-07ecb86,
161.4364,268.4576,686.2478,1176.0672,1346,2944,5258,6016,22,48,94,152,160,532,746,560,13.43,36.7044,62.6654,67.0724,0.8649,19.1952,20.3112,29.5089,121,528,605,814,1,6,10,10,36,114,138,120,2.4025,6.789,10.199,11.501,0,-15.06,-12.54,-22.43,0,18,55,36,0,0,0,0,0,17,37,40,0,4.92,8.92,8.08,147.3755,274.0082,437.5928,494.269,897,1820,2240,2210,19,38,58,70,96,230,310,330,9.0726,20.5014,29.319,32.247,11.8336,2.9412,8.8408,7.109333333,64,29.33333333,48,33.33333333,1,0.333333333,0.833333333,0.833333333,0.333333333,1.166666667,1.666666667,2.166666667,0.5329,0.217783333,0.453816667,0.41975,28.09,27.11833333,34.00833333,43.90794717,0,0.291666667,0.296666667,0.8,0,-1,0.666666667,2.5,0,0,0,0,0,-0.833333333,-0.833333333,-1.333333333,0,-0.055,-0.013333333,0.033333333,0,-3.35,-2,-3.867851667,3.599386667,5.575666667,7.745733333,7.401733333,34.13333333,56.53333333,50.13333333,44.26666667,0.333333333,0.666666667,0.8,0.933333333,1.733333333,3.2,3.6,5.066666667,0.211466667,0.41152,0.46972,0.510306667,32.58133333,60.05835773,58.556,78.41423673,0,0.228666667,0.300666667,0.671333333,0,2.4,2,5,0,0,0,0,0,0.266666667,-0.266666667,-0.266666667,0,0.078666667,0.02,0.12,0,0.785718667,-0.92,-0.481422,qmof-07ef212,
1513.4856,3318.912,10663.5424,14761.728,29472,78336,159616,221184,168,480,1136,1920,1680,5568,11200,16896,120.804,383.3376,818.1296,1344.1344,2.7225,34.056,32.505,101.244,900,1440,3480,3540,1,6,8.666666667,20,36,96,204,252,1.7161,5.7378,10.62846667,16.2964,0,-10.74,-5.4,-28.36,0,132,144,482,0,0,0,0,0,20,18,78,0,3.48,3.24,13.76,35.0097,46.308,53.9392,0,165,204,160,0,4,6,6,0,12,18,6,0,1.7956,2.8182,2.1462,0,11.8336,8.772,19.4016,0,64,48,72,0,1,1,2,0,1,3,2,0,0.5329,0.5621,0.803,0,28.09,59.89,51.977683,0,0,0.89,1.24,0,0,2,7,0,0,0,0,0,0,-2,0,0,0,-0.04,0.36,0,0,-6,0.79289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,qmof-07f2261,
191.443,337.536,647.1164,987.072,2812,5808,7892,7056,24,48,80,120,128,328,432,424,15.9944,35.3208,56.9032,71.2216,2.7225,27.06,29.4525,61.0005,900,1140,1260,2100,1,5,7,14,25,60,105,165,1.7161,4.8339,7.0609,11.8686,0,-8.15,-6.3,-13.87,0,112,168,350,0,0,0,0,0,13,14,37,0,2.86,3.78,9.28,149.3775,304.6081,477.1093,511.5847,942,1633,2576,2120,22.5,46,73,81,119,284,363,355,10.1827,23.2544,33.5749,32.3363,10.5376,12.138,24.7428,22.5696,56.5,66,105,100,1,1.5,3,3,2.5,7.5,10.5,7,0.5477,0.85855,1.4025,1.20865,41.425,113.565,160.962614,150.460297,0,0.935,1.775,2.755,0,2,8,9.5,0,0,0,0,0,-2,-1.5,0,0,-0.04,0.34,0.585,0,-6.9,-4.00711,-5.31422,4.1905,6.852766667,13.44523333,11.05873333,77.5,67.16666667,197.6666667,131,0.5,0.916666667,1.833333333,1.416666667,1.75,5.25,7.083333333,6,0.398258333,0.629541667,1.301,0.968316667,105.5575,137.6641667,308.110978,181.6862805,0,0.170833333,0.2875,0.083333333,0,5.333333333,7,6.666666667,0,0,0,0,0,-1,-0.25,-0.583333333,0,0.118333333,0.251666667,0.2125,0,2.9,5.164296667,5.707148333,qmof-07f47c8,
135.8821,242.592,450.138,930.24,1351,3108,5502,5040,19,36,66,120,102,288,426,360,12.4219,26.37,49.677,69.3,2.4025,28.272,47.43,76.88,625,1050,1800,2500,1,6,12,20,36,108,216,312,1.9321,6.255,12.8436,19.182,0,-8.94,-12,-18.6,0,108,228,400,0,0,0,0,0,18,36,68,0,3.84,7.44,14,450.1928,1037.544,1656.184,2011.136,1856,4512,6640,7112,72,160,256,320,416,1056,1568,1768,31.5016,79.5872,121.3568,138.5072,9.2416,15.504,30.29866667,36.632,49,84,144.6666667,140,1,2,4,5,4,12,21.33333333,22,0.5625,1.155,2.11,2.2875,54.76,167.24,300.9684093,317.565228,0,0.98,2.193333333,3.15,0,2,7.333333333,15,0,0,0,0,0,-2,-2.666666667,-1,0,-0.04,0.186666667,0.7,0,-7.8,-11.07140667,-5.91422,9.2416,15.504,28.88,21.128,49,84,98,56,1,2,4,3,4,12,16,10,0.5625,1.155,1.71,1.1325,54.76,167.24,233.945228,150.325228,0,0.98,2.66,2.17,0,2,14,13,0,0,0,0,0,-2,0,1,0,-0.04,0.72,0.74,0,-7.8,-2.01422,1.88578,qmof-07f54ba,
85.0076,146.2464,209.5748,300.6144,1611,2468,3842,2512,11,20,28,36,48,112,126,88,8.2308,15.0576,21.8448,22.712,3.5344,24.3648,28.8768,77.6816,729,810,1512,2376,1,4,6,14,16,40,80,112,1.5876,3.7296,6.4512,12.222,0,-5.44,-4.08,-15,0,78,106,290,0,0,0,0,0,6,4,28,0,2.08,2.44,7.94,123.28735,258.3708,438.8964,423.655,630,1436,1740,1306,18,38,62,68,100,246,350,358,7.97915,19.287,28.2782,26.864,10.5376,12.1896,33.4672,14.972,56.5,106,166,66.5,1,1.5,3.5,2,2.5,8,11.5,11,0.5477,0.9498,1.79685,1.005,41.425,135.03,169.811307,142.106307,0,0.92,0.91,1.155,0,-3,4,4.5,0,0,0,0,0,-2.5,-1,-1.5,0,-0.165,0.17,0.16,0,-10.95,-2.453555,-4.403555,9.674733333,20.5032,38.8592,18.848,88.5,191,165.5,87.5,1,2.5,4.5,2.5,7.5,19,22,19.5,0.632283333,1.61085,2.08915,1.29375,99.47,228.25,216.498921,183.916307,0,0.448333333,1.75,1.4,0,4.166666667,10,5,0,0,0,0,0,0.5,3.5,1,0,0.066666667,0.55,0.15,0,-1.15,0.439335,-6.353555,qmof-07f6650,
115.9886,253.5181,385.7344,450.1709,2940,3948,4672,3975,18,39,60,72,99,250,374,390,10.25,23.7839,35.4068,37.6248,3.7249,16.7138,24.6075,34.0452,2209,1410,1410,1551,1,3,5,7,9,24,42,45,1.6384,3.2256,4.928,5.8496,0,-2.87,-3.1,-4.13,0,111,205,296,0,0,0,0,0,1,1,6,0,1.32,2.55,4.39,135.2332,307.836,484.936,583.6942,538,1296,1852,1936,22,48,76,94,124,312,452,476,9.335,23.408,34.99,38.5774,7.949,11.0415,18.8936,19.5928,152.5,90,122.5,91,1,1.5,2.5,2.5,2.5,7,10.5,12,0.80145,0.9702,1.3875,1.28625,215.56,193.23,213.886307,169.486307,0,0.505,0.925,1.155,0,6,9,4.5,0,0,0,0,0,-1.5,-1,-1,0,0.105,0.295,0.16,0,0.15,1.596445,-4.403555,4.6208,3.876,3.9216,0,24.5,21,56,0,0.5,0.5,0.5,0,0.5,1,0.5,0,0.28125,0.28875,0.3825,0,27.38,41.81,71.78,0,0,0.245,0.23,0,0,0.5,-4.5,0,0,0,0,0,0,-0.5,0,0,0,-0.01,-0.135,0,0,-1.95,-6,0,qmof-07fb9bf,
715.3464,1770.6936,3466.254,4981.7552,30156,38208,75684,86976,92,248,448,672,704,2000,3556,5104,65.4064,175.6928,316.1932,465.6912,3.7249,23.3144,28.3324,60.22243333,2209,1316,3619,3164.666667,1,3.666666667,6,11,13.66666667,37.66666667,70.33333333,98.66666667,1.6384,3.460266667,6.5664,9.954133333,0,-5.003333333,-3.1,-9.973333333,0,144.3333333,205,449.6666667,0,0,0,0,0,3.666666667,4,14.33333333,0,1.99,2.55,6.303333333,116.9326,214.22,317.3564,340.403,572.5,1040,1490,1526,14.5,29,41,44,70,161,199,193,7.15625,15.2697,20.8361,21.3192,10.6672,11.8014,24.80788,30.64484,57.25,64.2,121.45,151.7,1,1.45,2.9,3.35,2.35,7.05,11.2,10.2,0.54622,0.828905,1.50675,1.740905,40.0915,108.1975,176.2846763,167.0881763,0,0.9305,1.529,0.948,0,2,5.15,3.9,0,0,0,0,0,-2,-2,-0.875,0,-0.04,0.122,0.147,0,-6.81,-7.2631995,-3.0181995,11.8336,10.664,20.6056,21.1216,64,50,112,106,1,1.25,2,2.25,1.75,4.25,5.25,6.5,0.5329,0.629625,1.095,1.177125,28.09,65.86192075,87.98,105.0819208,0,1.2,0.89,1.6,0,3.75,2,4.75,0,0,0,0,0,-1.5,-1.75,-2.5,0,0.05,-0.04,0.03,0,-5.8017775,-6,-7.9017775,qmof-07ff184,
292.517,559.12,1578.079,1418.954,4381,10440,10588,8664,43,92,198,196,318,916,1072,1116,19.0091,55.8676,93.5014,96.5876,1.21,35.882,16.83,36.696,3249,4332,2052,4446,1,10,6,12,100,240,180,350,2.8561,12.4722,7.8078,15.4128,0,-21.62,-8.7,-20.16,0,494,306,606,0,0,0,0,0,76,42,85,0,9.52,5.52,11.16,416.222,855.236,1407.5288,1752.161,1643,3428,5144,5996,63,130,218,274,348,858,1230,1582,25.4119,61.0018,92.4754,115.5978,11.033935,11.063175,18.91511,28.19535,59.8,60.6,102.8,104.4,1,1.3,2,3.575,2.2,4.8,7.375,10.775,0.5419,0.73535,1.11446,1.5632875,43.03,88.027,117.542,185.8558987,0,0.4895,0.9165,3.199,0,1.1,2.1,13.825,0,0,0,0,0,-1.1,-2.975,-3.6,0,-0.022,-0.042,0.511,0,-3.3,-5.94,-7.15119825,10.0192,19.7268,40.50632,26.604,53.5,93.3,131.6,91.8,1,2.55,5.3,3.6,7.05,22.05,24.9,18.9,0.55362,1.331895,2.13075,1.52976,46.759,182.0719367,250.845842,196.3127052,0,1.587,3.264,2.634,0,5.25,19.5,13.2,0,0,0,0,0,-0.8,6.1,2.7,0,0.12,1.11,0.636,0,-7.8331995,2.64867,-3.072798,qmof-07ff199,
191.443,363.546,713.2124,946.986,2812,5952,8252,6840,24,52,88,116,140,364,516,468,15.9944,37.6924,61.4616,69.0348,2.7225,27.06,29.4525,53.163,900,1140,1260,1890,1,5,7,12,25,60,105,130,1.7161,4.8339,7.0609,10.3752,0,-8.15,-6.3,-12.42,0,112,168,297,0,0,0,0,0,13,14,34,0,2.86,3.78,7.8,124.6461333,243.525,366.8676,401.089,561.3333333,1104,1520,1486,17.33333333,35.33333333,52,58.66666667,87.33333333,206,265.3333333,261.3333333,7.928133333,17.787,24.55346667,25.12613333,10.5376,12.138,24.92013333,24.09026667,56.5,66,110.8333333,105.6666667,1,1.5,3,2.833333333,2.5,7.5,10.66666667,8.5,0.5477,0.85855,1.4525,1.35105,41.425,113.565,169.3405117,141.358845,0,0.935,1.716666667,1.456666667,0,2,7.166666667,6.666666667,0,0,0,0,0,-2,-1.333333333,-0.833333333,0,-0.04,0.273333333,0.283333333,0,-6.9,-5.139258333,-2.889258333,7.025066667,8.092,16.84986667,21.27546667,37.66666667,44,81.66666667,104.6666667,0.666666667,1,2,2.333333333,1.666666667,5,8,7,0.365133333,0.572366667,1.035,1.207366667,27.61666667,75.71,124.0642047,116.427538,0,0.623333333,1.066666667,0.606666667,0,1.333333333,3.666666667,2.666666667,0,0,0,0,0,-1.333333333,-1.333333333,-0.333333333,0,-0.026666667,0.093333333,0.113333333,0,-4.6,-4.935703333,-1.635703333,qmof-08021a9,
157.612,282.24,630.1468,776.256,2626,5616,6544,7584,18,40,68,96,108,272,372,448,12.3778,30.5344,45.9868,60.5152,2.7225,27.72,21.0375,43.7415,900,1170,900,1860,1,5,5,9,25,50,70,100,1.7161,4.8077,5.0435,8.8687,0,-8.55,-4.5,-11.66,0,111,120,208,0,0,0,0,0,15,11,25,0,2.88,2.7,5.02,179.4381333,338.521,522.5912,662.1986667,1573.333333,2104,3352,4977.333333,22.66666667,47.33333333,70.66666667,89.33333333,118,290,418.6666667,486.6666667,13.58306667,27.81753333,41.4324,52.88573333,10.9696,8.432,16.32106667,11.356,59,46,88.66666667,62,1,1,1.666666667,1.333333333,1,2.666666667,3,3.333333333,0.542766667,0.567233333,0.9225,0.7546,36.98,67.8,86.52666667,87.76333333,0,0.756666667,0.756666667,1.053333333,0,1.666666667,1.666666667,2.333333333,0,0,0,0,0,-1.666666667,-1.333333333,-2,0,-0.033333333,-0.033333333,-0.046666667,0,-5.3,-5.3,-7.3,3.469104762,3.477714286,7.373638095,12.75638095,63.47619048,30,62.0952381,154.5714286,0.333333333,0.428571429,0.857142857,1.476190476,0.714285714,2.142857143,3.714285714,5.476190476,0.26422381,0.281233333,0.558219048,1.042747619,45.8847619,49.07428571,91.95142857,182.467619,0,0.270952381,0.41047619,0.746190476,0,2.428571429,4.571428571,6.238095238,0,0,0,0,0,-0.571428571,-0.952380952,-1.714285714,0,0.035238095,0.076190476,0.084761905,0,-0.5,-0.057142857,-1.642857143,qmof-080c4cf,
285.8226,561.906,2317.8952,2441.734,9840,22152,28930,28144,34,92,244,328,384,1356,2154,2400,20.9216,75.4196,150.3074,178.7872,1.21,36.861,22.495,45.353,4225,5070,6370,5720,1,10,9,14,100,260,300,380,2.8224,12.3312,11.1552,16.296,0,-22.51,-10.55,-25.83,0,572,487,822,0,0,0,0,0,74,60,102,0,9.46,8.48,13.82,141.2102,232.713,403.0426,546.1864,668,1080,1708,1792,17,32,54,72,86,212,264,244,7.8353,16.0776,24.3502,29.1576,11.50040625,5.34065625,10.47950625,15.4779625,62.25,29.25,54,59.5,1,0.625,1.125,1.8125,1,2.5,3.6875,4.875,0.53665,0.3532375,0.5886875,0.79635625,34.315,41.66875,58.56879288,82.07388725,0,0.278125,0.544375,1.430625,0,0.625,1.75,6.375,0,0,0,0,0,-0.75,-1.4375,-1.6875,0,-0.0125,0.0275,0.2475,0,-1.875,-2.52588875,-2.7803325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,qmof-080c4dc,
93.1012,171.7248,379.641,210.528,661,1824,2388,1152,10,24,36,24,72,192,192,96,6.5637,17.7828,21.8082,13.4904,2.5921,33.2304,12.3165,12.3165,169,624,234,234,1,6,3,3,36,72,54,54,1.5876,5.5188,2.9106,2.9106,0,-10.98,-2.82,-2.82,0,30,21,21,0,0,0,0,0,24,9,9,0,3.18,1.47,1.47,217.5734,409.6532,634.4464,794.195,1026,1946,2872,3144,28,58,88,110,146,356,484,486,13.3868,30.1386,43.7424,49.6334,11.8336,8.772,20.6056,17.544,64,48,112,96,1,1,2,2,1,3,4,6,0.5329,0.5621,1.095,1.1242,28.09,59.89,87.98,119.78,0,0.89,0.89,1.78,0,2,2,4,0,0,0,0,0,-2,-2,-4,0,-0.04,-0.04,-0.08,0,-6,-6,-12,12.541,13.5713,21.777,41.7935,65,72.5,117,176.5,1,1.5,2.5,5,2.5,6.5,12,19,0.5333,0.84335,1.41295,2.3839,34.3738,90.321,167.692,272.4139097,0,0.96,2.165,4.855,0,2,4.5,16.5,0,0,0,0,0,-1.5,-3.5,-4,0,-0.04,-0.09,0.42,0,-5.73,-13.41,-16.630665,qmof-0811e53,
376.768,710.5664,1552.9072,1978.1376,5604,10752,14224,21120,44,112,184,272,312,864,1288,1696,33.8444,88.6512,138.6728,191.4352,1.84145,18.0944,15.03,40.5546,454.5,528,486,1188,1,4,5,10,16,40,64,100,1.7425,3.8544,5.8079,9.8472,0,-8.5,-4.94,-17.69,0,34,42,93,0,0,0,0,0,6,4,15,0,2.36,2.2,5.74,144.0441,255.969,399.6456,462.213,711,1260,1896,1944,18,36,54,66,90,216,294,306,8.9442,19.1268,27.591,31.0002,11.8336,8.772,20.6056,17.544,64,48,112,96,1,1,2,2,1,3,4,6,0.5329,0.5621,1.095,1.1242,28.09,59.89,87.98,119.78,0,0.89,0.89,1.78,0,2,2,4,0,0,0,0,0,-2,-2,-4,0,-0.04,-0.04,-0.08,0,-6,-6,-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,qmof-0813a12,
91.1304,194.858,328.3472,351.664,1215,2300,2710,952,13,28,48,48,76,192,268,176,7.0144,17.3196,26.5416,17.9376,3.61,24.624,36.1,31.122,841,870,812,870,1,4,8,6,16,48,72,48,1.9044,4.0848,6.2928,5.1612,0,-5.36,-3.8,-4.98,0,86,204,144,0,0,0,0,0,4,14,12,0,2.56,6.48,4.54,130.1513,257.397,422.3892,524.7464,509,1020,1416,1376,20,40,66,84,106,262,342,332,8.0596,18.634,27.4278,29.7392,10.5376,8.262,21.3988,34.4204,56.5,45,101.5,140,1,1,2.5,4,1,3.5,6.5,6.5,0.5477,0.5698,1.26375,1.8036,41.425,71.755,144.286307,175.8814555,0,0.69,1.355,1.95,0,1.5,5,10.5,0,0,0,0,0,-2.5,-4,-2.5,0,-0.03,0.15,0.54,0,-4.95,-5.453555,-0.610665,11.8336,8.772,20.6056,26.7976,64,48,112,112,1,1,2,3,1,3,5,6,0.5329,0.5621,1.095,1.3797,28.09,59.89,87.98,122.997683,0,0.89,0.89,2.53,0,2,2,10,0,0,0,0,0,-2,-3,-3,0,-0.04,-0.04,0.3,0,-6,-6,-7.30711,qmof-082961d,
203.7418,392.16,843.666,934.992,4648,8832,18960,20160,23,56,96,132,152,416,720,864,17.3495,44.092,76.776,102.5796,2.7225,22.704,20.79,63.7065,900,960,3240,2700,1,4,6,12,16,40,84,108,1.7161,3.8252,8.1744,11.6328,0,-7.16,-2.7,-18.81,0,88,72,270,0,0,0,0,0,6,3,21,0,2.32,1.62,6.84,209.4544,421.566,677.9204,790.0003333,844,1728,2528,2793.333333,32,65.33333333,106.6666667,124.6666667,172,413.3333333,568,663.3333333,13.2608,31.09773333,45.60426667,53.9234,11.8336,8.772,20.6056,17.544,64,48,112,96,1,1,2,2,1,3,4,6,0.5329,0.5621,1.095,1.1242,28.09,59.89,87.98,119.78,0,0.89,0.89,1.78,0,2,2,4,0,0,0,0,0,-2,-2,-4,0,-0.04,-0.04,-0.08,0,-6,-6,-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,qmof-082a0fb,
167.292,321.997,698.1148,955.0972,2628,5716,6856,8554,20,46,80,122,126,328,476,610,12.6516,32.8302,51.3752,71.1362,2.7225,27.72,24.6675,47.3715,900,1170,930,1890,1,5,6,10,25,55,80,110,1.7161,4.8077,5.5282,9.3534,0,-8.55,-5.05,-12.21,0,111,149,237,0,0,0,0,0,14,14,28,0,2.88,3.64,5.96,158.704,324.19,540.8936,659.8387333,598,1256,1768,1863.333333,24.66666667,50.66666667,86.66666667,110.6666667,145.3333333,396,560,661.3333333,9.5806,23.2848,34.47,40.47373333,10.9696,8.432,18.5504,13.68053333,59,46,91,53.33333333,1,1,2,1.666666667,1,3,3.666666667,2.666666667,0.542766667,0.567233333,1.015,0.744766667,36.98,67.8,97.64420467,77.260099,0,0.756666667,1.036666667,1.286666667,0,1.666666667,3.666666667,5.666666667,0,0,0,0,0,-2,-1.666666667,-1,0,-0.033333333,0.093333333,0.22,0,-5.3,-4.335703333,-2.771406667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,qmof-082b821,
148.4932,264.8192,616.528,559.437,4282,7202,7024,7704,16,34,64,64,98,246,332,254,11.5686,28.1902,42.9408,40.3882,4.6656,36.288,23.0904,28.62,1764,1638,1050,2856,1,5,4,5,25,45,60,80,1.9044,5.0646,4.2228,6.0996,0,-6,-2.05,-2.45,0,171,143,142,0,0,0,0,0,16,8,9,0,3.23,2.46,2.48,195.5726,391.4972,596.7104,743.6614,866,1754,2480,2740,28,58,88,110,146,356,476,462,12.6524,29.0914,41.6448,46.3854,10.9696,11.51253333,20.91173333,31.8664,59,62.33333333,113.3333333,162,1,1.333333333,2.333333333,3.666666667,2,5.333333333,8.333333333,12.66666667,0.542766667,0.754733333,1.3121,1.969366667,36.98,86.05333333,141.7833333,217.5458943,0,0.756666667,1.216666667,2.386666667,0,1.666666667,2.666666667,6.666666667,0,0,0,0,0,-1.666666667,-2.666666667,-4.333333333,0,-0.033333333,-0.053333333,0.033333333,0,-5.3,-8.6,-13.63570333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,qmof-082c84f,
