f-Z-0-all,f-T-1-all,mc-chi-0-all,mc-chi-1-all,mc-chi-2-all,mc-chi-3-all,mc-Z-0-all,mc-Z-1-all,mc-Z-2-all,mc-Z-3-all,mc-I-2-all,mc-T-2-all,mc-S-0-all,mc-S-2-all,D_mc-chi-1-all,D_mc-chi-2-all,D_mc-chi-3-all,D_mc-Z-1-all,D_mc-Z-2-all,D_mc-Z-3-all,D_mc-T-2-all,D_mc-S-2-all,D_mc-S-3-all,f-lig-Z-3,f-lig-S-0,lc-chi-0-all,lc-chi-1-all,lc-Z-0-all,lc-Z-1-all,lc-Z-2-all,lc-Z-3-all,lc-I-2-all,lc-T-3-all,lc-S-0-all,lc-S-3-all,lc-alpha-1-all,lc-alpha-3-all,D_lc-chi-1-all,D_lc-chi-2-all,D_lc-chi-3-all,D_lc-Z-1-all,D_lc-T-1-all,D_lc-T-2-all,D_lc-T-3-all,D_lc-S-2-all,D_lc-S-3-all,D_lc-alpha-1-all,D_lc-alpha-2-all,D_lc-alpha-3-all,func-chi-0-all,func-Z-0-all,func-Z-1-all,func-Z-2-all,func-Z-3-all,func-T-0-all,func-T-3-all,func-S-0-all,func-S-2-all,func-S-3-all,func-alpha-0-all,func-alpha-1-all,func-alpha-2-all,func-alpha-3-all,D_func-chi-1-all,D_func-chi-2-all,D_func-chi-3-all,D_func-Z-1-all,D_func-Z-2-all,D_func-Z-3-all,D_func-T-1-all,D_func-T-2-all,D_func-T-3-all,D_func-S-1-all,D_func-S-2-all,D_func-S-3-all,D_func-alpha-1-all,D_func-alpha-2-all,D_func-alpha-3-all,ASA_A^2,Density,Largest_free_sphere,NASA_A^2,Unitcell_volume,outputs.pbe.bandgap,MOFname
3576.0,608.0,2.8561,33.5296,40.729,54.0124,2304.0,2208.0,1920.0,2784.0,10.0,132.0,2.1904,9.028,-9.7,-7.2,-11.68,242.0,440.0,518.0,38.0,8.7,10.24,1062.0,8.3622,10.5376,12.138,56.5,66.0,108.5,72.5,3.0,8.0,0.5477,0.9896,113.565,118.376307,0.935,1.53,1.555,2.0,-2.0,-1.0,-2.5,0.35,0.14,-6.9,-2.05711,-6.503555,10.5376,56.5,89.0,132.5,87.0,5.75,14.5,0.5477,1.96855,1.39465,41.425,161.3469208,229.645228,149.2427625,1.49,2.8375,2.77,4.25,14.5,14.5,-1.0,3.0,2.0,0.04,0.71,0.71,-8.6517775,-2.61422,-1.26422,0.0,1.67895,1.00431,0.0,1156.9,3.288367,qmof-d49da6f
4648.0,416.0,2.7225,22.704,20.79,63.7065,900.0,960.0,3240.0,2700.0,6.0,84.0,1.7161,8.1744,-7.16,-2.7,-18.81,88.0,72.0,270.0,3.0,1.62,6.84,5829.333333,24.61123333,11.8336,8.772,64.0,48.0,112.0,96.0,2.0,6.0,0.5329,1.1242,59.89,119.78,0.89,0.89,1.78,2.0,-2.0,-2.0,-4.0,-0.04,-0.08,-6.0,-6.0,-12.0,11.8336,64.0,96.0,160.0,233.7777778,4.0,30.88888889,0.5329,2.2265,3.107366667,28.09,119.78,227.445366,301.5568972,1.78,5.15,6.707777778,4.0,20.0,26.77777778,-3.0,-2.0,-1.444444444,-0.08,0.6,0.853333333,-12.0,-16.41422,-19.79752778,1144.36,0.543497,7.67452,0.0,5319.7,2.109439,qmof-1c59969
21456.0,4012.0,1.2884,37.8137,55.2722,47.7926,4916.5,11764.0,11554.0,4661.0,18.5,674.5,3.65,27.2315,-20.475,-34.94,-20.78,581.0,865.0,1110.5,145.0,22.275,18.715,768.0,5.9175,11.21163833,5.290825,60.73333333,29.0,37.33333333,23.73333333,0.916666667,3.8,0.5399,0.447966667,45.84033333,57.2861004,0.0445,0.333833333,1.0365,0.1,-0.216666667,-0.5,-0.5,0.082,0.286,-0.3,-0.114992333,0.334312,2.36672,12.8,9.6,22.4,12.8,0.2,1.2,0.10658,0.219,0.22046,5.618,11.978,17.596,21.5330732,0.178,0.178,0.674,0.4,0.4,3.2,-0.4,-0.6,-0.6,-0.008,-0.008,0.136,-1.2,-1.2,-0.882844,0.0,2.69356,0.86707,0.0,782.586,2.358369,qmof-48d7590
15236.0,2528.0,1.21,37.84,26.125,67.98,3249.0,4560.0,8436.0,8208.0,11.0,390.0,2.8561,14.7199,-23.4,-11.65,-40.9,490.0,479.0,939.0,71.0,9.88,18.08,512.0,4.1841,11.8336,3.759428571,64.0,20.57142857,48.0,27.42857143,0.857142857,2.142857143,0.5329,0.472414286,25.66714286,46.14229971,0.381428571,0.381428571,1.444285714,0.857142857,-0.857142857,-1.285714286,-0.857142857,-0.017142857,0.291428571,-2.571428571,-2.571428571,-1.891808571,1.690514286,9.142857143,6.857142857,16.0,9.142857143,0.142857143,0.714285714,0.076128571,0.156428571,0.157471429,4.012857143,8.555714286,12.56857143,15.38076657,0.127142857,0.127142857,0.481428571,0.285714286,0.285714286,2.285714286,-0.285714286,-0.428571429,-0.285714286,-0.005714286,-0.005714286,0.097142857,-0.857142857,-0.857142857,-0.630602857,0.0,2.4463,1.62583,0.0,890.589,4.398921,qmof-1d53084
13626.0,1120.0,2.8561,27.40053333,37.7546,69.3576,2304.0,1792.0,6720.0,4032.0,8.666666667,143.3333333,2.1904,11.85973333,-7.2,-7.693333333,-16.25333333,218.6666667,276.0,620.0,20.0,4.813333333,11.66666667,0.0,1.6875,9.2416,11.74656,49.0,63.0,68.6,22.4,2.2,4.0,0.5625,0.453,99.752,60.1300912,0.392,1.064,0.868,0.8,-1.4,0.0,0.4,0.288,0.296,-3.12,-0.805688,0.754312,9.0496,519.4,133.0,177.8,196.0,2.2,3.2,0.85734,0.81474,1.03968,209.256,149.68,200.792,265.559448,0.164,0.328,0.936,11.6,23.2,50.4,-0.2,-1.6,-1.6,0.148,0.296,0.912,3.88,7.76,20.954312,0.0,2.42546,0.94902,0.0,836.172,2.969117,qmof-6d89826
1124.0,412.0,2.5921,33.2304,26.0981,38.5756,169.0,624.0,507.0,728.0,7.0,120.0,1.5876,6.4008,-10.98,-4.94,-11.08,30.0,52.0,48.0,22.0,3.74,4.08,3288.0,12.008,11.8336,4.386,64.0,24.0,56.0,48.0,1.0,3.0,0.5329,0.5621,29.945,59.89,0.445,0.445,0.89,1.0,-1.0,-1.0,-2.0,-0.02,-0.04,-3.0,-3.0,-6.0,6.4565,92.5,39.0,78.0,141.5,0.5,5.0,0.37105,0.6545,1.19935,56.7869,51.8105,103.621,175.3793515,0.51,1.02,1.77,3.5,7.0,14.5,-1.0,-2.0,-3.0,0.04,0.08,0.275,-1.065,-2.13,-0.6717775,173.255,1.02301,6.28719,0.0,1050.59,2.676348,qmof-79237e4
1565.0,152.0,3.61,24.624,30.932,65.436,841.0,870.0,1102.0,2088.0,6.0,72.0,1.9044,6.3204,-5.36,-4.88,-11.64,86.0,136.0,276.0,6.0,3.7,8.32,1694.0,9.548,10.9696,12.13973333,59.0,65.33333333,132.0,23.33333333,2.666666667,4.666666667,0.542766667,0.5625,81.89333333,72.34348533,0.593333333,0.606666667,1.283333333,1.333333333,-2.0,-0.666666667,1.0,0.113333333,0.5,-4.0,-1.635703333,2.557186667,10.3936,55.66666667,90.22222222,115.2222222,53.66666667,3.777777778,8.0,0.549344444,1.238688889,0.9425,42.90666667,99.32444444,126.8422222,118.470152,0.237777778,0.49,1.446666667,0.444444444,1.0,8.666666667,-0.222222222,-1.333333333,0.666666667,-0.008888889,-0.02,0.493333333,-2.133333333,-3.9,1.257186667,0.0,1.72139,1.68888,0.0,360.56,0.830876,qmof-c98c976
3730.0,608.0,2.8561,29.2708,25.857,32.11,2304.0,2880.0,1728.0,1344.0,6.0,96.0,2.1904,6.8376,-7.18,-5.16,-5.48,228.0,252.0,356.0,20.0,4.26,7.28,0.0,2.1958,8.5953,11.33475,100.75,76.5,105.0,28.0,2.5,5.0,0.681975,0.56625,159.33,75.162614,0.62,1.33,1.085,3.75,-1.5,0.0,0.5,0.36,0.37,-2.85,-1.00711,0.94289,5.9168,32.0,24.0,48.0,60.0,0.5,4.5,0.26645,0.5621,0.96725,14.045,29.945,59.89,95.7215245,0.445,0.89,2.75,1.0,2.0,12.5,-1.0,-2.5,-2.0,-0.02,-0.04,0.5,-3.0,-6.0,-4.810665,0.0,1.75035,0.9716,0.0,893.396,2.27158,qmof-f172a75
7900.0,392.0,2.8561,27.5808,25.857,40.6107,2304.0,3168.0,1728.0,2304.0,6.0,95.0,2.1904,6.8376,-7.87,-5.16,-8.82,174.0,252.0,384.0,11.0,4.26,7.27,2268.0,10.645,11.1856,12.648,60.25,69.0,139.25,185.25,3.25,16.5,0.5403,2.2764,101.7,214.474678,1.135,2.2225,3.3275,2.5,-2.25,-3.0,-1.5,0.11,0.58,-7.95,-11.003555,-7.0124425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.19754,0.94058,0.0,1234.8,2.404533,qmof-565df98
2596.0,208.0,2.7225,22.044,21.846,42.504,900.0,930.0,930.0,1680.0,5.0,56.0,1.7161,5.0173,-6.76,-4.99,-10.91,89.0,119.0,214.0,6.0,2.72,5.4,3316.0,15.237,11.1856,10.8274,60.25,58.75,108.5,86.0,2.25,6.5,0.5403,1.05315,79.5125,111.8631535,0.79,1.0,1.545,1.75,-1.75,-1.75,-3.0,0.06,0.035,-5.475,-4.7517775,-8.2767775,9.8896,52.75,101.25,164.5,157.0,5.75,29.0,0.5551,2.203125,2.34355,48.0925,160.5675,276.2244605,296.6220745,0.835,1.955,2.895,1.75,7.25,13.5,-0.75,0.75,2.5,-0.035,0.23,0.605,-6.375,-8.1053325,-5.7374425,0.0,1.28684,2.74985,520.104,4002.01,2.727024,qmof-7a9a91d
1299.0,224.0,3.5344,37.2992,28.764,45.308,729.0,1242.0,972.0,1080.0,6.0,108.0,1.5876,5.8212,-8.56,-4.02,-5.3,116.0,126.0,230.0,18.0,2.94,6.5,2488.0,11.7454,10.9696,11.016,59.0,60.0,107.3333333,82.66666667,2.666666667,7.333333333,0.542766667,1.126966667,95.67333333,129.9617427,0.92,1.48,1.91,2.0,-2.0,-1.333333333,-2.333333333,0.213333333,0.193333333,-6.6,-4.671406667,-7.371406667,6.6564,256.0,192.0,320.0,416.0,4.0,28.0,1.0404,3.111,3.8964,376.36,438.44,832.535868,1051.755868,0.06,0.85,0.88,20.0,60.0,70.0,-3.0,-1.0,-2.0,0.5,2.05,2.3,16.2,54.08578,62.18578,0.0,1.47138,1.04121,11.3627,1235.82,0.768766,qmof-22ff445
9632.0,1168.0,1.44,37.152,22.86,45.288,4096.0,4608.0,6784.0,5376.0,8.0,270.0,2.8561,11.9652,-20.16,-9.45,-22.14,504.0,406.0,748.0,42.0,6.44,12.58,96.0,2.6623,11.8336,8.772,64.0,48.0,100.0,42.0,2.0,4.25,0.5329,0.888775,59.89,83.69228675,0.89,1.0775,3.235,2.0,-2.0,-2.75,-1.5,0.055,0.79,-6.0,-4.8267775,-1.2159975,2.3104,12.25,31.5,26.25,0.0,2.25,0.0,0.140625,0.6225,0.0,13.69,62.715,68.1720745,0.0,0.3675,1.37,0.0,0.75,10.25,0.0,-0.5,4.0,0.0,-0.015,0.67,0.0,-2.925,5.5875575,0.0,0.0,2.07721,0.8642,0.0,1302.96,4.489548,qmof-d17983b
2378.0,712.0,3.5344,47.0752,27.448,45.0448,729.0,1350.0,702.0,1512.0,6.0,112.0,1.5876,4.8132,-10.0,-3.32,-8.92,166.0,136.0,160.0,34.0,3.74,4.08,1632.0,10.3416,11.8336,8.772,64.0,48.0,112.0,56.0,2.0,4.0,0.5329,0.8322,59.89,83.777683,0.89,0.89,2.13,2.0,-2.0,-2.0,-2.0,-0.04,0.32,-6.0,-6.0,-5.20711,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.75511,1.41505,0.0,588.779,0.745644,qmof-b727e60
3204.0,160.0,3.7249,18.3736,26.5568,50.1028,2209.0,1034.0,1974.0,4465.0,5.0,48.0,1.6384,5.1968,-3.73,-4.11,-6.66,119.0,193.0,375.0,-1.0,2.34,5.47,350.0,4.0442,10.1056,14.28746667,54.0,103.3333333,119.3333333,109.3333333,3.0,7.666666667,0.552633333,1.2733,126.5266667,120.0388187,0.613333333,1.51,0.906666667,-2.0,-1.666666667,-1.666666667,0.666666667,0.213333333,0.513333333,-7.3,-5.271406667,2.817186667,4.324711111,34.83333333,49.88888889,94.55555556,60.0,1.166666667,0.833333333,0.201027778,0.590311111,0.431916667,26.36126667,47.78366667,41.74453333,16.51833333,0.192222222,0.098888889,0.09,1.5,0.222222222,0.166666667,-0.333333333,-0.333333333,0.0,0.02,-0.004444444,-0.003333333,-0.026666667,-0.666666667,-0.26,0.0,2.38863,0.95348,0.0,937.183,1.54435,qmof-1baf5cd
676.0,208.0,1.7161,27.0384,24.89,31.3876,144.0,576.0,336.0,672.0,8.0,96.0,1.9321,6.3384,-12.78,-8.52,-13.48,24.0,68.0,40.0,32.0,6.56,5.12,1352.0,7.6674,11.8336,5.848,64.0,32.0,74.66666667,53.33333333,1.333333333,2.666666667,0.5329,0.7154,39.92666667,50.57691067,0.593333333,0.593333333,1.653333333,1.333333333,-1.333333333,-2.0,-0.666666667,-0.026666667,0.48,-4.0,-4.0,1.057186667,9.224666667,48.33333333,50.0,89.33333333,122.0,1.666666667,9.333333333,0.345666667,1.106633333,1.449666667,14.02586667,54.014,103.9897887,113.9908496,1.07,2.67,3.56,2.333333333,8.666666667,13.33333333,-1.666666667,-1.666666667,-0.666666667,-0.046666667,0.16,0.4,-6.52,-10.51140667,-9.022813333,0.0,1.50402,1.4478,0.0,880.154,3.715806,qmof-3326c2a
6201.0,510.0,1.5376,26.8336,25.296,47.12,4624.0,5372.0,3264.0,3808.0,8.0,168.0,2.7225,10.164,-12.96,-10.48,-18.16,397.0,496.0,1032.0,32.0,7.04,17.28,1288.0,8.1492,9.560457143,8.859428571,151.8571429,48.0,56.0,32.0,2.285714286,5.714285714,0.741471429,0.647142857,95.56571429,85.90013029,0.56,1.52,1.24,1.142857143,-1.142857143,0.0,0.571428571,0.411428571,0.422857143,-4.457142857,-1.150982857,1.077588571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,263.41,1.47226,3.17138,0.0,2652.83,2.669047,qmof-a3eb64c
3322.0,280.0,3.61,22.876,29.07,52.687,841.0,1392.0,1044.0,1160.0,6.0,80.0,1.9044,6.3756,-4.44,-3.9,-6.83,68.0,138.0,279.0,4.0,3.66,9.19,5320.0,15.0508,9.245,10.965,160.0,120.0,176.0,320.0,3.5,14.0,0.78665,2.2604,249.165,576.9,0.475,1.045,0.935,11.0,-2.5,-0.5,-3.5,1.205,0.335,5.1,27.439335,6.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.97297,1.0506,1.3183,800.538,1.556763,qmof-4aba8b0
5402.5,1101.0,0.7921,28.48,36.312,55.2156,3136.0,4144.0,5376.0,6720.0,16.0,480.0,3.8416,24.1472,-23.1,-26.56,-40.68,486.0,800.0,1224.0,112.0,19.04,31.08,1514.666667,7.607,10.2784,12.8112,55.0,69.6,122.4,197.0,3.2,12.4,0.55066,2.14284,124.3,193.1930416,0.944,1.804,1.002,2.0,-2.0,-2.6,-0.8,0.172,0.368,-7.08,-7.744266,-0.81511,8.18448,42.2,38.4,114.4,79.8,1.2,4.8,0.31414,1.02096,0.822,16.54704,50.3528,79.1654028,70.1321228,0.768,0.936,1.054,1.6,2.8,3.0,-1.6,-1.0,-0.8,-0.032,0.044,0.04,-4.584,-4.005422,-3.849422,0.0,1.83856,1.23158,0.0,1567.46,2.36973,qmof-c7fe47a
2215.333333,278.6666667,2.7225,22.5984,35.6004,61.6836,900.0,948.0,1512.0,2640.0,8.0,110.4,1.7161,8.00672,-6.436,-8.376,-13.624,100.4,189.6,344.0,12.8,4.368,9.392,762.0,4.583125,9.8896,14.5658,52.75,78.5,105.0,27.5,3.0,2.5,0.5551,0.4198,125.9725,46.621307,0.7125,1.3075,0.865,1.5,-1.5,-4.16e-17,-0.5,0.36,0.17,-5.4,-0.55711,-1.553555,3.6262,18.83333333,13.0,27.33333333,48.5,0.25,2.166666667,0.128425,0.273483333,0.45105,4.6721,12.0345,21.419,33.44393333,0.3125,0.550833333,0.863333333,0.666666667,1.166666667,1.833333333,-0.5,-0.833333333,-1.333333333,-0.013333333,-0.023333333,-0.036666667,-1.76,-3.02,-4.78,0.0,1.85065,2.06533,44.5536,1115.75,3.498694,qmof-7981e56
